datetime,count
2011-01-20 00:00:00,11.73
2011-01-20 01:00:00,4.6
2011-01-20 02:00:00,4.15
2011-01-20 03:00:00,3.34
2011-01-20 04:00:00,3.06
2011-01-20 05:00:00,7.01
2011-01-20 06:00:00,38.72
2011-01-20 07:00:00,107.01
2011-01-20 08:00:00,243.01
2011-01-20 09:00:00,134.35
2011-01-20 10:00:00,62.16
2011-01-20 11:00:00,63.57
2011-01-20 12:00:00,81.67
2011-01-20 13:00:00,75.98
2011-01-20 14:00:00,80.56
2011-01-20 15:00:00,86.08
2011-01-20 16:00:00,94.64
2011-01-20 17:00:00,205.04
2011-01-20 18:00:00,177.61
2011-01-20 19:00:00,102.82
2011-01-20 20:00:00,70.27
2011-01-20 21:00:00,49.68
2011-01-20 22:00:00,45.92
2011-01-20 23:00:00,28.64
2011-01-21 00:00:00,16.04
2011-01-21 01:00:00,7.12
2011-01-21 02:00:00,5.307
2011-01-21 03:00:00,2.44
2011-01-21 04:00:00,2.2
2011-01-21 05:00:00,3.19
2011-01-21 06:00:00,35.41
2011-01-21 07:00:00,99.85
2011-01-21 08:00:00,205.33
2011-01-21 09:00:00,133.62
2011-01-21 10:00:00,52.23
2011-01-21 11:00:00,64.49
2011-01-21 12:00:00,70.23
2011-01-21 13:00:00,65.37
2011-01-21 14:00:00,62.34
2011-01-21 15:00:00,62.11
2011-01-21 16:00:00,80.84
2011-01-21 17:00:00,153.63
2011-01-21 18:00:00,151.74
2011-01-21 19:00:00,106.88
2011-01-21 20:00:00,65.64
2011-01-21 21:00:00,48.0
2011-01-21 22:00:00,33.28
2011-01-21 23:00:00,21.39
2011-01-22 00:00:00,24.65
2011-01-22 01:00:00,18.29
2011-01-22 02:00:00,14.04
2011-01-22 03:00:00,8.1
2011-01-22 04:00:00,2.49
2011-01-22 06:00:00,4.97
2011-01-22 07:00:00,16.27
2011-01-22 08:00:00,26.83
2011-01-22 09:00:00,34.47166666666667
2011-01-22 10:00:00,58.92
2011-01-22 11:00:00,61.18
2011-01-22 12:00:00,74.25
2011-01-22 13:00:00,79.73
2011-01-22 14:00:00,75.26
2011-01-22 15:00:00,74.18
2011-01-22 16:00:00,75.47
2011-01-22 17:00:00,79.38
2011-01-22 18:00:00,57.57
2011-01-22 19:00:00,41.57
2011-01-22 20:00:00,46.54
2011-01-22 21:00:00,41.1
2011-01-22 22:00:00,28.25
2011-01-22 23:00:00,21.2
2011-01-23 00:00:00,28.42
2011-01-23 01:00:00,20.25
2011-01-23 02:00:00,15.03
2011-01-23 03:00:00,14.11
2011-01-23 05:00:00,2.85
2011-01-23 06:00:00,2.29
2011-01-23 07:00:00,7.91
2011-01-23 08:00:00,17.56
